N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
2,2,z:il2d,nat-oop,11,13,3.744,1.177,1.390e-16,csk+rb,0,0
2,2,z:il2d,nat-oop,11,13,3.783,1.212,1.390e-16,csk+rb,0,1
2,4,z:il2d,nat-oop,12,169,9.782,13.740,1.663e-16,csk+rb,0,0
2,4,z:il2d,nat-oop,12,168,9.735,13.624,1.663e-16,csk+rb,0,1
2,8,z:il2d,nat-oop,16,178,20.064,11.168,1.913e-16,csk+rb,0,0
2,8,z:il2d,nat-oop,16,181,20.169,11.409,1.913e-16,csk+rb,0,1
2,16,z:il2d,nat-oop,26,215,30.654,8.221,1.991e-16,csk+rb2,0,0
2,16,z:il2d,nat-oop,26,218,30.465,8.317,1.991e-16,csk+rb2,0,1
2,32,z:il2d,nat-oop,41,315,46.353,7.615,2.012e-16,csk+rb2,0,0
2,32,z:il2d,nat-oop,41,323,47.163,7.933,2.012e-16,csk+rb2,0,1
2,64,z:il2d,nat-oop,80,491,55.759,6.113,2.000e-16,csk,0,0
2,64,z:il2d,nat-oop,80,472,55.925,5.897,2.000e-16,csk,0,1
2,128,z:il2d,nat-oop,160,836,64.011,5.225,2.700e-16,csk,0,0
2,128,z:il2d,nat-oop,161,844,63.592,5.243,2.700e-16,csk,0,1
2,256,z:il2d,nat-oop,319,1533,72.154,4.802,3.436e-16,csk,0,0
